OCCUPATION,AI_EXPOSURE_SCORE
"Accountants and Auditors",68
"Actors",44
"Actuaries",32
"Acupuncturists",47
"Adhesive Bonding Machine Operators and Tenders",63
"Administrative Law Judges, Adjudicators, and Hearing Officers",56
"Administrative Services Managers",55
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",56
"Advertising and Promotions Managers",34
"Advertising Sales Agents",66
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",16
"Aerospace Engineering and Operations Technologists and Technicians",44
"Aerospace Engineers",33
"Agents and Business Managers of Artists, Performers, and Athletes",40
"Agricultural Engineers",47
"Agricultural Equipment Operators",59
"Agricultural Inspectors",66
"Agricultural Sciences Teachers, Postsecondary",51
"Agricultural Technicians",69
"Agricultural Workers",54
"Agricultural Workers, All Other",51
"Air Traffic Controllers",40
"Air Transportation Workers",31
"Aircraft Cargo Handling Supervisors",29
"Aircraft Mechanics and Service Technicians",49
"Aircraft Service Attendants",46
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",67
"Airfield Operations Specialists",61
"Airline Pilots, Copilots, and Flight Engineers",37
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",28
"Amusement and Recreation Attendants",55
"Anesthesiologists",54
"Animal Breeders",69
"Animal Care and Service Workers",37
"Animal Caretakers",52
"Animal Control Workers",45
"Animal Scientists",44
"Animal Trainers",40
"Anthropologists and Archeologists",32
"Anthropology and Archeology Teachers, Postsecondary",53
"Arbitrators, Mediators, and Conciliators",39
"Architects, Except Landscape and Naval",29
"Architects, Surveyors, and Cartographers",32
"Architectural and Civil Drafters",52
"Architectural and Engineering Managers",23
"Architecture Teachers, Postsecondary",47
"Archivists",67
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",54
"Art and Design Workers",35
"Art Directors",31
"Art, Drama, and Music Teachers, Postsecondary",51
"Artists and Related Workers, All Other",23
"Assemblers and Fabricators",37
"Astronomers",27
"Athletes and Sports Competitors",39
"Athletic Trainers",36
"Atmospheric and Space Scientists",56
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",52
"Audio and Video Technicians",52
"Audiologists",31
"Audiovisual Equipment Installers and Repairers",54
"Automotive and Watercraft Service Attendants",64
"Automotive Body and Related Repairers",60
"Automotive Glass Installers and Repairers",48
"Automotive Service Technicians and Mechanics",52
"Avionics Technicians",47
"Baggage Porters and Bellhops",61
"Baggage Porters, Bellhops, and Concierges",31
"Bailiffs",44
"Bakers",57
"Barbers",61
"Bartenders",59
"Bicycle Repairers",44
"Bill and Account Collectors",80
