REFERENCE_DATE,DATA_YEAR,ECONOMIC_SECTION_CODE,ECONOMIC_SECTION,EMPLOYMENT_COUNT
2023-03-31,2023,WZ08-A,"Land- und Forstwirtschaft, Fischerei",242302
2023-03-31,2023,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,59229
2023-03-31,2023,WZ08-C,Verarbeitendes Gewerbe,6821337
2023-03-31,2023,WZ08-D,Energieversorgung,259093
2023-03-31,2023,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",272275
2023-03-31,2023,WZ08-F,Baugewerbe,1999898
2023-03-31,2023,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4600440
2023-03-31,2023,WZ08-H,Verkehr und Lagerei,1944864
2023-03-31,2023,WZ08-I,Gastgewerbe,1052021
2023-03-31,2023,WZ08-J,Information und Kommunikation,1334133
2023-03-31,2023,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,967690
2023-03-31,2023,WZ08-L,Grundstücks- und Wohnungswesen,306021
2023-03-31,2023,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2529400
2023-03-31,2023,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2311572
2023-03-31,2023,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2027951
2023-03-31,2023,WZ08-P,Erziehung und Unterricht,1431654
2023-03-31,2023,WZ08-Q,Gesundheits- und Sozialwesen,5301726
2023-03-31,2023,WZ08-R,"Kunst, Unterhaltung und Erholung",303730
2023-03-31,2023,WZ08-S,Erbringung von sonstigen Dienstleistungen,849308
2023-03-31,2023,WZ08-T,Private Haushalte,46136
2023-03-31,2023,WZ08-U,Exterritoriale Organisationen und Körperschaften,16405
2023-06-30,2023,WZ08-A,"Land- und Forstwirtschaft, Fischerei",256585
2023-06-30,2023,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,59085
2023-06-30,2023,WZ08-C,Verarbeitendes Gewerbe,6805638
2023-06-30,2023,WZ08-D,Energieversorgung,262343
2023-06-30,2023,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",272834
2023-06-30,2023,WZ08-F,Baugewerbe,2003765
2023-06-30,2023,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4572567
2023-06-30,2023,WZ08-H,Verkehr und Lagerei,1943101
2023-06-30,2023,WZ08-I,Gastgewerbe,1095616
2023-06-30,2023,WZ08-J,Information und Kommunikation,1339349
2023-06-30,2023,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,964521
2023-06-30,2023,WZ08-L,Grundstücks- und Wohnungswesen,306137
2023-06-30,2023,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2543232
2023-06-30,2023,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2317731
2023-06-30,2023,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2028741
2023-06-30,2023,WZ08-P,Erziehung und Unterricht,1430776
