REF_AREA,AREA_LABEL,SOURCE_LABEL,TOTAL,TIME
,Afghanistan,LFS - Labour Force Survey,19.257,2021
,Afghanistan,HIES - Households Living Conditions Survey,4.648,2017
,Angola,LFS - Employment Survey,49.309,2025
,Angola,LFS - Employment Survey,56.379,2024
,Angola,LFS - Employment Survey,52.248,2023
,Angola,LFS - Employment Survey,49.472,2022
,Angola,LFS - Employment Survey,34.663,2021
,Angola,LFS - Employment Survey,38.645,2020
,Angola,LFS - Employment Survey,31.686,2019
,Angola,PC - Population Census,17.226,2014
,Angola,LFS - Employment Survey,165.535,2011
,Angola,LFS - Employment Survey,183.42,2010
,Angola,HS - Core Welfare Indicators Questionnaire,13.048,2004
,Albania,LFS - Labour Force Survey,18.162,2024
,Albania,LFS - Labour Force Survey,21.281,2023
,Albania,LFS - Labour Force Survey,18.953,2022
,Albania,LFS - Labour Force Survey,16.328,2021
,Albania,LFS - Labour Force Survey,15.587,2020
,Albania,LFS - Labour Force Survey,13.682,2019
,Albania,LFS - Labour Force Survey,12.541,2018
,Albania,LFS - Labour Force Survey,10.824,2017
,Albania,LFS - Labour Force Survey,14.859,2016
,Albania,LFS - Labour Force Survey,8.239,2015
,Albania,LFS - Labour Force Survey,13.255,2014
,Netherlands Antilles,LFS - Labour Force Survey,0,2011
,Netherlands Antilles,LFS - Labour Force Survey,0,2009
,United Arab Emirates,LFS - Labour Force Survey,214.787,2024
,United Arab Emirates,LFS - Labour Force Survey,234.284,2023
,United Arab Emirates,LFS - Labour Force Survey,210.344,2022
,United Arab Emirates,LFS - Labour Force Survey,183.501,2021
,United Arab Emirates,LFS - Labour Force Survey,192.053,2020
,United Arab Emirates,LFS - Labour Force Survey,160.034,2019
,United Arab Emirates,LFS - Labour Force Survey,142.661,2018
,United Arab Emirates,LFS - Labour Force Survey,42.394,2017
,United Arab Emirates,LFS - Labour Force Survey,102.267,2016
,Argentina,"LFS - Permanent Household Survey, Urban",332.672,2024
,Argentina,"LFS - Permanent Household Survey, Urban",286.364,2023
,Argentina,"LFS - Permanent Household Survey, Urban",271.486,2022
,Argentina,"LFS - Permanent Household Survey, Urban",293.729,2021
,Argentina,"LFS - Permanent Household Survey, Urban",250.393,2020
,Argentina,"LFS - Permanent Household Survey, Urban",250.324,2019
,Argentina,"LFS - Permanent Household Survey, Urban",196.052,2018
,Argentina,"LFS - Permanent Household Survey, Urban",182.089,2017
,Argentina,"LFS - Permanent Household Survey, Urban",237.625,2014
